=== Shard: train_condensed_010 ===
ID file: data/SwissProt/train_condensed_chunks/train_condensed_010.txt
Output root: /scratch/user/yining_yang/TAMU/PhD/Pannot-Data/data/Sample/train_condensed_010
[train_condensed_010] processed 50 proteins
[train_condensed_010] processed 100 proteins
[train_condensed_010] processed 150 proteins
[train_condensed_010] processed 200 proteins
[train_condensed_010] processed 250 proteins
[train_condensed_010] processed 300 proteins
[train_condensed_010] processed 350 proteins
[train_condensed_010] processed 400 proteins
[train_condensed_010] processed 450 proteins
[train_condensed_010] processed 500 proteins
[train_condensed_010] processed 550 proteins
[train_condensed_010] processed 600 proteins
[train_condensed_010] processed 650 proteins
[train_condensed_010] processed 700 proteins
[train_condensed_010] processed 750 proteins
[train_condensed_010] processed 800 proteins
[train_condensed_010] processed 850 proteins
[train_condensed_010] processed 900 proteins
[train_condensed_010] processed 950 proteins
[train_condensed_010] processed 1000 proteins
[train_condensed_010] processed 1050 proteins
[train_condensed_010] processed 1100 proteins
[train_condensed_010] processed 1150 proteins
[train_condensed_010] processed 1200 proteins
[train_condensed_010] processed 1250 proteins
[train_condensed_010] processed 1300 proteins
[train_condensed_010] processed 1350 proteins
[train_condensed_010] processed 1400 proteins
[train_condensed_010] processed 1450 proteins
[train_condensed_010] processed 1500 proteins
[train_condensed_010] processed 1550 proteins
[train_condensed_010] processed 1600 proteins
[train_condensed_010] processed 1650 proteins
[train_condensed_010] processed 1700 proteins
[train_condensed_010] processed 1750 proteins
[train_condensed_010] processed 1800 proteins
[train_condensed_010] processed 1850 proteins
[train_condensed_010] processed 1900 proteins
[train_condensed_010] processed 1950 proteins
[train_condensed_010] processed 2000 proteins
[train_condensed_010] processed 2050 proteins
[train_condensed_010] processed 2100 proteins
[train_condensed_010] processed 2150 proteins
[train_condensed_010] processed 2200 proteins
[train_condensed_010] processed 2250 proteins
[train_condensed_010] processed 2300 proteins
[train_condensed_010] processed 2350 proteins
[train_condensed_010] processed 2400 proteins
[train_condensed_010] processed 2450 proteins
[train_condensed_010] processed 2500 proteins
[train_condensed_010] processed 2550 proteins
[train_condensed_010] processed 2600 proteins
[train_condensed_010] processed 2650 proteins
[train_condensed_010] processed 2700 proteins
[train_condensed_010] processed 2750 proteins
[train_condensed_010] processed 2800 proteins
[train_condensed_010] processed 2850 proteins
[train_condensed_010] processed 2900 proteins
[train_condensed_010] processed 2950 proteins
[train_condensed_010] processed 3000 proteins
[train_condensed_010] processed 3050 proteins
[train_condensed_010] processed 3100 proteins
[train_condensed_010] processed 3150 proteins
[train_condensed_010] processed 3200 proteins
[train_condensed_010] processed 3250 proteins
[train_condensed_010] processed 3300 proteins
[train_condensed_010] processed 3350 proteins
[train_condensed_010] processed 3400 proteins
